,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
156,3.08,3,2,3,2,2,2,3,2,2,2,2,3,3,2,2,1,2,2,2,0,5,"Social Acceptance,Job Security,flaxible Work Life Balanced","Software Development,Management,Teaching,Govt Job"
157,2.7,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,0,6,Social Acceptance,BCS
158,3.39,2,1,3,2,2,2,2,2,2,1,2,1,1,2,2,0,2,1,2,0,4,"Job Environment,Salary","Software Development,Teaching,Business,Abroad"
159,2.76,2,1,2,2,2,2,2,2,2,2,3,2,2,1,1,1,2,1,1,0,4,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
160,2.95,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,"Job Security,Salary","Software Development,Abroad"
161,3,1,1,2,2,2,2,3,2,2,3,2,3,1,2,2,1,2,2,1,2,6,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,UI/UX Designing,ML/AI Engineer,Abroad,Other"
162,3.83,2,1,2,2,3,3,2,1,1,2,2,1,1,1,1,1,1,1,3,5,0,"Job Security,flaxible Work Life Balanced",Abroad
163,3.18,2,2,1,1,1,1,1,2,2,3,2,1,2,2,3,2,2,1,1,0,4,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Gaming"
164,3.34,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,3,"Social Acceptance,flaxible Work Life Balanced",BCS
165,3.38,3,3,2,1,3,1,1,3,3,3,2,3,1,1,1,2,2,1,1,0,5,Social Acceptance,"Software Development,Database Administration"
166,3.55,3,1,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,2,0,0,Job Security,"Bank Job,BCS,Govt Job"
167,3.92,3,1,3,3,3,3,3,2,2,1,1,1,3,3,1,1,1,1,3,5,1,flaxible Work Life Balanced,Abroad
